Cluster,Hour,Centroid
1,0,0.15701683599528404
1,1,0.1369156415290912
1,2,0.12444342638385888
1,3,0.12071468883554773
1,4,0.11660899511602361
1,5,0.13345257455763224
1,6,0.16665285438367278
1,7,0.19596732953555082
1,8,0.20308746420137458
1,9,0.19663796822611831
1,10,0.19274366116884312
1,11,0.19433945715058157
1,12,0.19380837449320196
1,13,0.1848316848665801
1,14,0.18260138690683483
1,15,0.19248222001880674
1,16,0.2088541779721731
1,17,0.23544489037469934
1,18,0.2623523186581421
1,19,0.2754548197007901
1,20,0.2798542108226708
1,21,0.26077542971363143
1,22,0.22385309308814297
1,23,0.1842852198685437
2,0,0.39474431026875756
2,1,0.33696615765172
2,2,0.30173250234809096
2,3,0.2840255217189579
2,4,0.27625352359190597
2,5,0.2909613319254922
2,6,0.34713179671230215
2,7,0.42232008485231826
2,8,0.4617486093891503
2,9,0.4724062448935512
2,10,0.4728112600533894
2,11,0.4701366689718929
2,12,0.47016107123638295
2,13,0.4725596470201382
2,14,0.4750794852623439
2,15,0.48547157026597587
2,16,0.5198753153293134
2,17,0.5736995439942463
2,18,0.6090507582630049
2,19,0.6257676544763882
2,20,0.632798516779136
2,21,0.6189905974635784
2,22,0.5724310169514591
2,23,0.48254001573140937
3,0,0.6829219648948441
3,1,0.6445736349804455
3,2,0.6290312587566406
3,3,0.6235405579184535
3,4,0.624339783341211
3,5,0.6313553452324602
3,6,0.6669578716935916
3,7,0.7015006822412011
3,8,0.7152031180901615
3,9,0.7198069239616398
3,10,0.7177705548446847
3,11,0.7101153235383328
3,12,0.7132937854314768
3,13,0.7119534188299292
3,14,0.7079467101113129
3,15,0.7170150531362254
3,16,0.7370084951510698
3,17,0.7539029606663998
3,18,0.7603498797128967
3,19,0.7585581411762425
3,20,0.754940901847325
3,21,0.7489748478598195
3,22,0.7406692965861441
3,23,0.7248304431727974
4,0,0.26365362864434994
4,1,0.22436464861327382
4,2,0.19977642344586338
4,3,0.18883461102662497
4,4,0.18348072993259765
4,5,0.2004428297878997
4,6,0.249387460661973
4,7,0.29949769755446376
4,8,0.31530724664229226
4,9,0.31554009174186787
4,10,0.3150333942588155
4,11,0.31435674994315527
4,12,0.318707275156084
4,13,0.3190258826956071
4,14,0.31490589028914684
4,15,0.32302898166401023
4,16,0.3514237658730075
4,17,0.39884963818432406
4,18,0.4351766691439728
4,19,0.45680957855047644
4,20,0.46346624999487007
4,21,0.4522808707741187
4,22,0.4017077675194251
4,23,0.32728453868732565
